gene_id	transcript_id	gene_name	chrom	strand	spans
AT1G30814	AT1G30814.1	AT1G30814	AT1G30814.1	AT1G30814	1	-	10944317-10944727,10944078-10944229,10943868-10943984,10943644-10943750,10943154-10943561,10943007-10943060,10942648-10942909
AT1G78930	AT1G78930.1	AT1G78930	AT1G78930.1	AT1G78930	1	-	29680106-29680757,29679877-29680014,29679538-29679783,29679327-29679440,29679017-29679199,29678707-29678924,29677904-29678618
AT1G71695	AT1G71695.1	AT1G71695	AT1G71695.1	AT1G71695	1	+	26964087-26964625,26965591-26965785,26965943-26966688
AT1G58983	AT1G58983.1	AT1G58983	AT1G58983.1	AT1G58983	1	-	21806783-21807496,21805932-21806440
AT1G12980	AT1G12980.1	AT1G12980	AT1G12980.1	ESR1	1	+	4429718-4430965
AT1G45223	AT1G45223.1	AT1G45223	AT1G45223.1	AT1G45223	1	+	17141192-17141771
AT1G56250	AT1G56250.1	AT1G56250	AT1G56250.1	PP2-B14	1	-	21062593-21063047,21062380-21062498,21061522-21062223
AT1G66852	AT1G66852.1	AT1G66852	AT1G66852.1	AT1G66852	1	-	24938500-24938832
AT1G69810	AT1G69810.1	AT1G69810	AT1G69810.1	WRKY36	1	-	26279051-26279255,26277988-26278524,26277773-26277886,26276948-26277684
AT1G72450	AT1G72450.1	AT1G72450	AT1G72450.1	JAZ6	1	-	27275983-27276562,27275544-27275667,27275065-27275391,27273968-27274540
AT1G76280	AT1G76280.5	AT1G76280	AT1G76280.5	AT1G76280	1	-	28622568-28622777,28622409-28622475,28622259-28622328,28621955-28622142,28621673-28621780,28621403-28621585,28620706-28621149,28620268-28620363,28619987-28620160,28619377-28619604,28619051-28619194,28618775-28618963,28618422-28618541,28617577-28618340
AT1G65630	AT1G65630.1	AT1G65630	AT1G65630.1	DEG3	1	-	24408696-24409068,24408347-24408592,24407911-24408106,24407516-24407775,24407320-24407447,24407037-24407210,24406903-24406953,24406461-24406793
AT1G71390	AT1G71390.2	AT1G71390	AT1G71390.2	RLP11	1	+	26906401-26908975
AT1G56233	AT1G56233.1	AT1G56233	AT1G56233.1	AT1G56233	1	-	21050939-21051017,21050540-21050795
AT1G15210	AT1G15210.1	AT1G15210	AT1G15210.1	ABCG35	1	-	5235742-5236886,5235527-5235657,5235039-5235431,5234080-5234949,5233834-5233987,5233690-5233761,5233493-5233599,5232568-5233409,5231345-5232479
AT1G15250	AT1G15250.1	AT1G15250	AT1G15250.1	AT1G15250	1	-	5249666-5249676,5249379-5249563,5249169-5249304,5248961-5249062,5248664-5248871
AT1G79700	AT1G79700.2	AT1G79700	AT1G79700.2	WRI4	1	-	29993486-29993766,29993322-29993404,29993080-29993088,29992638-29992726,29992089-29992162,29991955-29992005,29991804-29991880,29990336-29990825
AT1G62895	AT1G62895.1	AT1G62895	AT1G62895.1	AT1G62895	1	+	23295989-23296018,23296187-23296288,23296433-23296489,23296633-23296671,23296826-23296858
AT1G73360	AT1G73360.1	AT1G73360	AT1G73360.1	HDG11	1	-	27581675-27582685,27581481-27581598,27581190-27581378,27580621-27581103,27580432-27580533,27580139-27580339,27579882-27580062,27579545-27579804,27579369-27579458,27578421-27579291
AT1G16360	AT1G16360.2	AT1G16360	AT1G16360.2	AT1G16360	1	-	5595706-5595814,5595075-5595133,5594902-5594976,5594697-5594810,5594524-5594594,5594097-5594394,5593672-5593961,5593270-5593550
AT1G10225	AT1G10225.1	AT1G10225	AT1G10225.1	AT1G10225	1	+	3354243-3354281,3354361-3354856
AT1G26670	AT1G26670.1	AT1G26670	AT1G26670.1	VTI1B	1	+	9215770-9216199,9216860-9216918,9217008-9217196,9217373-9217543,9217641-9218010
AT1G34855	AT1G34855.1	AT1G34855	AT1G34855.1	AT1G34855	1	+	12801427-12801622,12801634-12801929,12801984-12802067
AT1G52200	AT1G52200.1	AT1G52200	AT1G52200.1	AT1G52200	1	-	19443209-19443624,19443029-19443100,19442726-19442938,19441636-19442359
AT1G57800	AT1G57800.2	AT1G57800	AT1G57800.2	VIM5	1	-	21411774-21412283,21410350-21410879,21410104-21410229,21409917-21410019,21409755-21409819,21409568-21409670,21409345-21409492,21409027-21409241,21408623-21408941
